13:53:32 8192 MiB, 4221 MiB, 3671 MiB
13:53:34 8192 MiB, 4221 MiB, 3671 MiB
13:53:36 8192 MiB, 4221 MiB, 3671 MiB
13:53:39 8192 MiB, 4221 MiB, 3671 MiB
13:53:41 8192 MiB, 4221 MiB, 3671 MiB
13:53:44 8192 MiB, 4221 MiB, 3671 MiB
13:53:46 8192 MiB, 4221 MiB, 3671 MiB
13:53:48 8192 MiB, 4209 MiB, 3682 MiB
13:53:50 8192 MiB, 4221 MiB, 3671 MiB
13:53:53 8192 MiB, 4221 MiB, 3671 MiB
13:53:55 8192 MiB, 4221 MiB, 3671 MiB
13:53:58 8192 MiB, 4221 MiB, 3671 MiB
13:54:00 8192 MiB, 4221 MiB, 3671 MiB
13:54:02 8192 MiB, 4221 MiB, 3671 MiB
13:54:04 8192 MiB, 4221 MiB, 3671 MiB
13:54:07 8192 MiB, 4221 MiB, 3671 MiB
13:54:09 8192 MiB, 4221 MiB, 3671 MiB
13:54:11 8192 MiB, 4221 MiB, 3671 MiB
13:54:14 8192 MiB, 4221 MiB, 3671 MiB
13:54:16 8192 MiB, 4221 MiB, 3671 MiB
13:54:19 8192 MiB, 4212 MiB, 3680 MiB
13:54:21 8192 MiB, 4221 MiB, 3671 MiB
13:54:23 8192 MiB, 4221 MiB, 3671 MiB
13:54:26 8192 MiB, 4221 MiB, 3671 MiB
13:54:28 8192 MiB, 4220 MiB, 3671 MiB
13:54:30 8192 MiB, 4220 MiB, 3671 MiB
13:54:33 8192 MiB, 4220 MiB, 3671 MiB
13:54:35 8192 MiB, 4220 MiB, 3671 MiB
13:54:38 8192 MiB, 4220 MiB, 3671 MiB
13:54:40 8192 MiB, 4220 MiB, 3671 MiB
13:54:43 8192 MiB, 4220 MiB, 3671 MiB
13:54:45 8192 MiB, 4220 MiB, 3671 MiB
13:54:48 8192 MiB, 4220 MiB, 3671 MiB
13:54:50 8192 MiB, 4220 MiB, 3671 MiB
13:54:53 8192 MiB, 4220 MiB, 3671 MiB
13:54:55 8192 MiB, 4220 MiB, 3671 MiB
13:54:58 8192 MiB, 4220 MiB, 3671 MiB
13:55:00 8192 MiB, 4220 MiB, 3671 MiB
13:55:03 8192 MiB, 4220 MiB, 3671 MiB
13:55:05 8192 MiB, 4220 MiB, 3671 MiB
13:55:07 8192 MiB, 4220 MiB, 3671 MiB
13:55:09 8192 MiB, 4220 MiB, 3672 MiB
13:55:12 8192 MiB, 4220 MiB, 3672 MiB
13:55:14 8192 MiB, 4220 MiB, 3672 MiB
13:55:17 8192 MiB, 4220 MiB, 3672 MiB
13:55:19 8192 MiB, 4220 MiB, 3672 MiB
13:55:22 8192 MiB, 4208 MiB, 3683 MiB
13:55:24 8192 MiB, 4186 MiB, 3706 MiB
13:55:26 8192 MiB, 4186 MiB, 3706 MiB
13:55:29 8192 MiB, 4186 MiB, 3706 MiB
13:55:31 8192 MiB, 4186 MiB, 3706 MiB
13:55:33 8192 MiB, 4186 MiB, 3706 MiB
13:55:35 8192 MiB, 4186 MiB, 3706 MiB
13:55:38 8192 MiB, 4190 MiB, 3702 MiB
13:55:40 8192 MiB, 4190 MiB, 3702 MiB
13:55:43 8192 MiB, 4190 MiB, 3702 MiB
13:55:46 8192 MiB, 4190 MiB, 3702 MiB
13:55:48 8192 MiB, 4190 MiB, 3702 MiB
13:55:50 8192 MiB, 4190 MiB, 3702 MiB
13:55:53 8192 MiB, 1847 MiB, 6044 MiB
13:55:55 8192 MiB, 1758 MiB, 6134 MiB
13:55:57 8192 MiB, 1666 MiB, 6225 MiB
13:56:00 8192 MiB, 1666 MiB, 6225 MiB
13:56:02 8192 MiB, 1666 MiB, 6225 MiB
13:56:04 8192 MiB, 1666 MiB, 6225 MiB
13:56:07 8192 MiB, 1484 MiB, 6407 MiB
13:56:09 8192 MiB, 1484 MiB, 6407 MiB
13:56:12 8192 MiB, 1484 MiB, 6407 MiB
13:56:14 8192 MiB, 1484 MiB, 6407 MiB
13:56:16 8192 MiB, 1485 MiB, 6407 MiB
13:56:19 8192 MiB, 1484 MiB, 6407 MiB
13:56:21 8192 MiB, 1470 MiB, 6421 MiB
13:56:24 8192 MiB, 1470 MiB, 6421 MiB
13:56:26 8192 MiB, 1470 MiB, 6421 MiB
13:56:28 8192 MiB, 1470 MiB, 6421 MiB
13:56:31 8192 MiB, 1470 MiB, 6421 MiB
13:56:33 8192 MiB, 1470 MiB, 6421 MiB
13:56:36 8192 MiB, 1470 MiB, 6421 MiB
13:56:38 8192 MiB, 1470 MiB, 6421 MiB
13:56:40 8192 MiB, 1467 MiB, 6424 MiB
13:56:43 8192 MiB, 1465 MiB, 6427 MiB
13:56:45 8192 MiB, 1465 MiB, 6427 MiB
13:56:47 8192 MiB, 1465 MiB, 6427 MiB
13:56:49 8192 MiB, 1465 MiB, 6427 MiB
13:56:52 8192 MiB, 1456 MiB, 6436 MiB
13:56:54 8192 MiB, 1453 MiB, 6438 MiB
13:56:56 8192 MiB, 1453 MiB, 6438 MiB
13:56:59 8192 MiB, 1453 MiB, 6438 MiB
13:57:01 8192 MiB, 419 MiB, 7472 MiB
13:57:04 8192 MiB, 21 MiB, 7870 MiB
13:57:06 8192 MiB, 22 MiB, 7869 MiB
